#include "libanogs.so.h"


          puStack_98 = (uint *)((long)puVar3 + -0x60);
          puStack_90 = (uint *)((long)puVar3 + -0x70);
          puStack_88 = (undefined4 *)((long)puVar3 + -0x80);
          uStack_cc = 0x3e43ef4;
          uStack_c8 = 0x2c09760;
          iStack_c4 = 0x124a994;
          puVar3 = puStack_88;
        }
      }
      else {
        if (0x2d918ee5 < iStack_c4) goto joined_r0x002c6688;
        if (0x2210b4bf < iStack_c4) goto joined_r0x002c6a30;
        if (iStack_c4 == 0x1dc9dde5) goto LAB_002c6a04;
      }
    }
    if (iStack_c4 < -0x3d969b3f) {
      if (iStack_c4 < -0x721110c1) goto joined_r0x002c65cc;
      if (-0x5cc4f94a < iStack_c4) goto joined_r0x002c66b0;
      goto joined_r0x002c6644;
    }
joined_r0x002c6604:
    if (iStack_c4 < -0x33073566) {
      if (iStack_c4 < -0x37d87060) {
        if (iStack_c4 != -0x3d969b3f) goto LAB_002c65a8;
        uStack_cc = 0x7e083d8c;
        uStack_c8 = 0x5399b36a;
        cStack_69 = iStack_74 + (uStack_70 | uStack_7c) + (uStack_80 & (uStack_7c ^ 0xffffffff)) ==
                    uStack_78;
        iStack_c4 = 0x2d918ee6;
      }
      else {
        if (iStack_c4 != -0x37d87060) goto LAB_002c65a8;
        uStack_cc = 0xbea9a571;
        uStack_c8 = 0xa3607894;
        uStack_68 = *puStack_c0;
        iStack_c4 = 0x1dc9dde5;
      }
      while( true ) {
        while( true ) {
          while (-0x21041362 < iStack_c4) {
            if (iStack_c4 < 0x1dc9dde5) {
              if (iStack_c4 < 0x4a95aef) {
                if (iStack_c4 < 0x124a994) {
joined_r0x002c65f8:
                  if (iStack_c4 != -0x21041361) goto LAB_002c65a8;
                  FUN_002bfe60(0x32,0,puStack_c0,0x3f,0);
                  uStack_cc = 0xd29ef158;
                  uStack_c8 = 0x5f701e67;
                  iStack_c4 = -0x721110c1;
                }
                else {
joined_r0x002c6698:
                  if (iStack_c4 != 0x124a994) goto LAB_002c65a8;
                  *puStack_c0 = 0;
                  *(undefined4 *)puStack_b8 = 0x41c1;
                  uStack_80 = (uint)*puStack_b8;
                  *(undefined4 *)puStack_b0 = 0x9018;
                  *puStack_a8 = 0xbaa1;
                  uVar2 = *puStack_a8;
                  uStack_c8 = 0xc61b8361;
                  uStack_cc = 0xc2b2d98e;
                  iStack_c4 = -0x5cc4f949;
                  if (((uStack_80 | uVar2) + uVar2) - (uVar2 & (uStack_80 ^ 0xffffffff)) !=
                      uStack_80 + uVar2) {
                    iStack_c4 = 0x4a95aef;
                  }
                }
              }
              else {
                bVar4 = iStack_c4 == 0x53c22c4;
                if (0x53c22c3 < iStack_c4) goto LAB_002c6bf4;
joined_r0x002c6658:
                if (iStack_c4 != 0x4a95aef) goto LAB_002c65a8;
                uStack_cc = 0x7a7ce42;
                uStack_c8 = 0x68367d6;
                iStack_c4 = 0x124a994;
              }
            }
            else if (iStack_c4 < 0x2d918ee6) {
              if (iStack_c4 < 0x2210b4c0) {
                if (iStack_c4 != 0x1dc9dde5) goto LAB_002c65a8;
LAB_002c6a04:
                uStack_cc = 0x38d212c2;
                uStack_c8 = 0xf42ad858;
                iStack_c4 = -0x33073566;
              }
              else {
joined_r0x002c6a30:
                if (iStack_c4 != 0x2210b4c0) goto LAB_002c65a8;
                *puStack_98 = 0xf995;
                uVar2 = *puStack_98;
                *puStack_90 = 0x1408;
                uVar1 = *puStack_90;
                uStack_c8 = 0xe0f72599;
                uStack_cc = 0x6d19caa6;
                iStack_c4 = -0x21041361;
                if ((uVar1 | uVar2 ^ 0xffffffff) + (uVar2 & uVar1) + (uVar2 & (uVar1 ^ 0xffffffff))
                    + 1 == (uVar2 & uVar1)) {
                  iStack_c4 = -0x721110c1;
                }
              }
            }
            else {
joined_r0x002c6688:
              if (iStack_c4 < 0x565b20d9) {
                if (iStack_c4 != 0x2d918ee6) goto LAB_002c65a8;
                uStack_cc = 0x6d927d03;
                uStack_c8 = 0xb603aed7;
                iStack_c4 = 0x2210b4c0;
                if (cStack_69 == '\0') {
                  iStack_c4 = -0x246e2c2c;
                }
              }
              else {
                if (iStack_c4 != 0x565b20d9) goto LAB_002c65a8;
                uStack_cc = 0xb852080f;
                uStack_c8 = 0x707587af;
                iStack_c4 = -0x37d87060;
              }
            }
          }
          if (-0x3d969b40 < iStack_c4) goto joined_r0x002c6604;
          if (-0x721110c2 < iStack_c4) break;
joined_r0x002c65cc:
          if (iStack_c4 != -0x7908b967) goto LAB_002c65a8;
          uStack_cc = 0x29b22b1e;
          uStack_c8 = 0x8a892da9;
          iStack_c4 = -0x5cc4f949;
        }
        if (iStack_c4 < -0x5cc4f949) break;
joined_r0x002c66b0:
        if (iStack_c4 != -0x5cc4f949) goto LAB_002c65a8;
        uStack_7c = (uint)*puStack_b0;
        uStack_78 = uStack_80 & uStack_7c;
        iStack_74 = (uStack_80 & uStack_7c) + 1;
        uStack_70 = ~uStack_80;
        *puStack_a0 = 0x216f;
        uVar2 = *puStack_a0;
        uStack_c8 = 0xb1f0ab35;
        uStack_cc = 0x7399cff4;
        iStack_c4 = -0x7908b967;
        if ((uStack_70 ^ uVar2) + uVar2 * 2 + (uVar2 & (uStack_70 ^ 0xffffffff)) * -2 ==
            uStack_70 + uVar2) {
          iStack_c4 = -0x3d969b3f;
        }
      }
joined_r0x002c6644:
      if (iStack_c4 != -0x721110c1) goto LAB_002c65a8;
      FUN_002bfe60(0x25,0,puStack_c0,0,0);
      *puStack_88 = 0x4421;
      uStack_cc = 0xdb56c9b0;
      uStack_c8 = 0x13714610;
      iStack_c4 = -0x37d87060;
      goto joined_r0x002c6604;
    }
    if (iStack_c4 < -0x246e2c2c) {
      if (iStack_c4 == -0x33073566) {
        return uStack_68;
      }
    }
    else if (iStack_c4 == -0x246e2c2c) {
      FUN_002bfe60(0x67,0,puStack_c0,0xffffffd7,0);
      uStack_cc = 0x8e4b8536;
      uStack_c8 = 0xac5b31f6;
      iStack_c4 = 0x2210b4c0;
    }
  } while( true );
}



// WARNING: Globals starting with '_' overlap smaller symbols at the same address

void FUN_002c6cfc(undefined8 param_1)

{
  long lVar1;
  code *UNRECOVERED_JUMPTABLE;
  undefined8 in_stack_00000180;
  ulong in_stack_000001a0;
  
  lVar1 = FUN_003d6d3c();
  if (*(int *)(lVar1 + 0x3ac) != 0) {
                    // WARNING: Could not recover jumptable at 0x002c6da8. Too many branches
                    // WARNING: Treating indirect jump as call
    (*UNRECOVERED_JUMPTABLE)
              (lVar1,_FUN_002c6dcc,0xa90357f6a9025ff8,UNRECOVERED_JUMPTABLE,in_stack_00000180,
               in_stack_000001a0 & 3);
    return;
  }
  FUN_002bfe60(0x26,param_1,0,0,0);
  return;
}



// WARNING: Removing unreachable block (ram,0x002c6e44)
// WARNING: Removing unreachable block (ram,0x002c6e4c)
// WARNING: Removing unreachable block (ram,0x002c6e54)
// WARNING: Removing unreachable block (ram,0x002c6e5c)
// WARNING: Removing unreachable block (ram,0x002c6e40)
// WARNING: Removing unreachable block (ram,0x002c6e60)
// WARNING: Removing unreachable block (ram,0x002c6e68)
// WARNING: Removing unreachable block (ram,0x002c6e70)
// WARNING: Removing unreachable block (ram,0x002c6e74)
// WARNING: Removing unreachable block (ram,0x002c6e7c)

undefined8 FUN_002c6dcc(undefined4 param_1)

{
  uint uVar1;
  bool bVar2;
  uint uVar3;
  uint *puVar4;
  undefined1 auStack_a0 [12];
  undefined4 uStack_94;
  undefined4 uStack_90;
  uint uStack_8c;
  undefined4 *puStack_88;
  uint *puStack_80;
  uint *puStack_78;
  uint *puStack_70;
  uint *puStack_68;
  undefined8 *puStack_60;
  undefined8 uStack_58;
  
  puVar4 = (uint *)auStack_a0;
LAB_002c7140:
  puStack_88 = (undefined4 *)((long)puVar4 + -0x10);
  puStack_80 = (uint *)((long)puVar4 + -0x20);
  puStack_78 = (uint *)((long)puVar4 + -0x30);
  puStack_70 = (uint *)((long)puVar4 + -0x40);
  puStack_68 = (uint *)((long)puVar4 + -0x50);
  uStack_94 = 0xda8880a8;
  uStack_90 = 0xbcb098eb;
  uStack_8c = 0x66381843;
  puVar4 = puStack_68;
LAB_002c6e8c:
  if ((int)uStack_8c < 0x3feacab7) {
    if ((int)uStack_8c < -0xc125998) {
      if (uStack_8c == 0x80741065) goto LAB_002c7140;
    }
    else {
      if (-0xaab6574 < (int)uStack_8c) goto joined_r0x002c6ef4;
      while (uStack_8c == 0xf3eda668) {
        *puStack_60 = 0;
        uStack_8c = 0x66381843;
        uStack_94 = 0x321fc7cb;
        uStack_90 = 0x5427df88;
        while( true ) {
          if (0x3feacab6 < uStack_8c) {
            do {
              if ((int)uStack_8c < 0x6544a652) {
                if (0x55809d19 < (int)uStack_8c) goto joined_r0x002c70d0;
joined_r0x002c6ebc:
                if (uStack_8c != 0x3feacab7) goto LAB_002c6e8c;
                *puStack_60 = 0;
                *puStack_70 = 0x6466;
                uVar3 = *puStack_70;
                *puStack_68 = 0x1ffe;
                uVar1 = *puStack_68;
                uStack_8c = 0xf5549a8d;
                bVar2 = ((uVar3 | uVar1) + uVar1) - (uVar1 & (uVar3 ^ 0xffffffff)) == uVar3 + uVar1;
                uStack_90 = 0x62fa720c;
                uVar3 = 0x55809d1a;
                uStack_94 = 0x377aef16;
              }
              else {
                if ((int)uStack_8c < 0x66381843) goto joined_r0x002c6ee4;
                if (uStack_8c != 0x66381843) goto LAB_002c6e8c;
LAB_002c6f9c:
                puVar4 = (uint *)((long)puVar4 + -0x10);
                puStack_60 = (undefined8 *)puVar4;
                *puStack_88 = param_1;
                *puStack_80 = 0x1fc1;
                uVar3 = *puStack_80;
                *puStack_78 = 0x5d26;
                uVar1 = *puStack_78;
                uStack_8c = 0x3feacab7;
                bVar2 = ((uVar3 | uVar1) + uVar1) - (uVar1 & (uVar3 ^ 0xffffffff)) == uVar3 + uVar1;
                uStack_90 = 0x3c626639;
                uVar3 = 0xf3eda668;
                uStack_94 = 0xcf8fc051;
              }
              if (!bVar2) {
                uStack_8c = uVar3;
              }
            } while (0x3feacab6 < (int)uStack_8c);
          }
          if ((int)uStack_8c < -0xc125998) {
            if (uStack_8c != 0x80741065) goto LAB_002c6e8c;
            goto LAB_002c7140;
          }
          if ((int)uStack_8c < -0xaab6573) break;
joined_r0x002c6ef4:
          if (uStack_8c != 0xf5549a8d) goto LAB_002c6e8c;
          FUN_002bfe60(0x3b,puStack_88,puStack_60,0,0);
          uStack_58 = *puStack_60;
          uStack_8c = 0x6544a652;
          uStack_94 = 0x77978a31;
          uStack_90 = 0x12d32c63;
        }
      }
    }
    goto LAB_002c6e8c;
  }
  if ((int)uStack_8c < 0x6544a652) {
    if ((int)uStack_8c < 0x55809d1a) goto joined_r0x002c6ebc;
joined_r0x002c70d0:
    if (uStack_8c != 0x55809d1a) goto LAB_002c6e8c;
    FUN_002bfe60(0x6a,puStack_88,puStack_60,0xffffffc6,0);
    uStack_58 = *puStack_60;
  }
  else {
    if (0x66381842 < (int)uStack_8c) {
      if (uStack_8c == 0x66381843) goto LAB_002c6f9c;
      goto LAB_002c6e8c;
    }
joined_r0x002c6ee4:
    if (uStack_8c != 0x6544a652) goto LAB_002c6e8c;
  }
  return uStack_58;
}



// WARNING: Removing unreachable block (ram,0x002c7224)
// WARNING: Removing unreachable block (ram,0x002c725c)
// WARNING: Removing unreachable block (ram,0x002c72b4)
// WARNING: Removing unreachable block (ram,0x002c72bc)
// WARNING: Removing unreachable block (ram,0x002c7264)
// WARNING: Removing unreachable block (ram,0x002c726c)
// WARNING: Removing unreachable block (ram,0x002c7258)
// WARNING: Removing unreachable block (ram,0x002c72e8)
// WARNING: Removing unreachable block (ram,0x002c72f0)
// WARNING: Removing unreachable block (ram,0x002c7270)
// WARNING: Removing unreachable block (ram,0x002c7278)
// WARNING: Removing unreachable block (ram,0x002c722c)
// WARNING: Removing unreachable block (ram,0x002c7234)
// WARNING: Removing unreachable block (ram,0x002c723c)
// WARNING: Type propagation algorithm not settling

void FUN_002c71a4(undefined8 param_1)

{
  uint uVar1;
  uint *puVar2;
  undefined8 uStack_c0;
  undefined4 uStack_b4;
  undefined4 uStack_b0;
  uint uStack_ac;
  uint *puStack_a8;
  uint *puStack_a0;
  uint *puStack_98;
  uint *puStack_90;
  uint uStack_84;
  undefined8 uStack_80;
  uint uStack_74;
  uint uStack_70;
  int iStack_6c;
  uint uStack_68;
  uint uStack_64;
  
  puVar2 = (uint *)&uStack_c0;
  uStack_c0 = param_1;
  do {
    puStack_a8 = puVar2 + -4;
    puStack_a0 = puVar2 + -8;
    puStack_98 = puVar2 + -0xc;
    puVar2 = puVar2 + -0x10;
    uStack_b4 = 0x8254efa1;
    uStack_b0 = 0x11ad9b9d;
    uStack_ac = 0x93f9743c;
    puStack_90 = puVar2;
LAB_002c7318:
    if ((int)uStack_ac < 0xbe62e24) {
      if ((int)uStack_ac < -0x199170d0) {
        if ((int)uStack_ac < -0x6abe618e) {
          if (uStack_ac == 0x93f9743c) goto LAB_002c73c8;
          goto LAB_002c7318;
        }
joined_r0x002c7380:
        if (uStack_ac != 0x95419e72) goto LAB_002c7318;
      }
      else {
        if ((int)uStack_ac < -0x197b90f7) goto joined_r0x002c749c;
        if (-0x17cc305e < (int)uStack_ac) goto joined_r0x002c73b8;
joined_r0x002c7670:
        if (uStack_ac != 0xe6846f09) goto LAB_002c7318;
      }
      return;
    }
    if (0x4e1ff2e0 < (int)uStack_ac) {
      if ((int)uStack_ac < 0x6dfc6b24) {
joined_r0x002c7378:
        if (uStack_ac == 0x4e1ff2e1) {
          FUN_002bfe60(0xffffffdd,uStack_c0,0,0x55,0);
          return;
        }
      }
      else if ((int)uStack_ac < 0x76301fc8) {
joined_r0x002c74d8:
        if (uStack_ac == 0x6dfc6b24) {
          return;
        }
      }
      else if (uStack_ac == 0x76301fc8) goto LAB_002c74e4;
      goto LAB_002c7318;
    }
joined_r0x002c7348:
    if (0x365ef1cc < (int)uStack_ac) {
      if (uStack_ac == 0x365ef1cd) {
        uStack_b0 = 0x4f90e47e;
        uStack_b4 = 0x39a0fbb6;
        uStack_ac = 0x4e1ff2e1;
        if (uStack_64 == 0) {
          uStack_ac = 0x76301fc8;
        }
        while( true ) {
          if (0xbe62e23 < (int)uStack_ac) goto LAB_002c76bc;
          while( true ) {
            if ((int)uStack_ac < -0x199170d0) {
              if (-0x6abe618f < (int)uStack_ac) goto joined_r0x002c7380;
              if (uStack_ac != 0x93f9743c) goto LAB_002c7318;
LAB_002c73c8:
              while( true ) {
                *puStack_a8 = 0xa88d;
                uStack_84 = (uint)*(undefined8 *)puStack_a8;
                *puStack_a0 = 0xcfb5;
                uStack_80 = *(undefined8 *)puStack_a0;
                *puStack_98 = 0x7c88;
                uStack_b4 = 0x278ee4a2;
                uStack_b0 = 0xc1e06b92;
                uStack_ac = 0x95419e72;
                if ((*puStack_98 & uStack_84) == (uStack_84 & *puStack_98)) {
                  uStack_ac = 0xe66e8f30;
                }
                if (0xbe62e23 < (int)uStack_ac) {
                  if ((int)uStack_ac < 0x4e1ff2e1) goto joined_r0x002c7348;
                  if ((int)uStack_ac < 0x6dfc6b24) goto joined_r0x002c7378;
                  if (0x76301fc7 < (int)uStack_ac) goto LAB_002c74e0;
                  goto joined_r0x002c74d8;
                }
                if (-0x199170d1 < (int)uStack_ac) break;
                if (-0x6abe618f < (int)uStack_ac) goto joined_r0x002c7380;
                if (uStack_ac != 0x93f9743c) goto LAB_002c7318;
              }
            }
            if ((int)uStack_ac < -0x197b90f7) break;
            if ((int)uStack_ac < -0x17cc305d) goto joined_r0x002c7670;
joined_r0x002c73b8:
            if (uStack_ac != 0xe833cfa3) goto LAB_002c7318;
            uStack_64 = iStack_6c + (uStack_68 | uStack_74) + (uStack_84 & (uStack_74 ^ 0xffffffff))
                        ^ uStack_70;
            uStack_b4 = 0x9d409127;
            uStack_b0 = 0xab1e60ea;
            uStack_ac = 0x365ef1cd;
            while (0xbe62e23 < uStack_ac) {
LAB_002c76bc:
              if ((int)uStack_ac < 0x4e1ff2e1) goto joined_r0x002c7348;
              if ((int)uStack_ac < 0x6dfc6b24) goto joined_r0x002c7378;
              if ((int)uStack_ac < 0x76301fc8) goto joined_r0x002c74d8;
LAB_002c74e0:
              if (uStack_ac != 0x76301fc8) goto LAB_002c7318;
LAB_002c74e4:
              FUN_002bfe60(0x3c,uStack_c0,0,0,0);
              uStack_b4 = 0xabf74760;
              uStack_b0 = 0xc60b2c44;
              uStack_ac = 0x6dfc6b24;
            }
          }
joined_r0x002c749c:
          if (uStack_ac != 0xe66e8f30) break;
          uStack_74 = (uint)uStack_80;
          uStack_70 = uStack_84 & uStack_74;
          iStack_6c = (uStack_84 & uStack_74) + 1;
          uStack_68 = ~uStack_84;
          *puStack_90 = 0x5dab;
          uVar1 = *puStack_90;
          uStack_b0 = 0x15d1eb41;
          uStack_b4 = 0xf3558448;
          uStack_ac = 0xe833cfa3;
          if ((uStack_68 ^ uVar1) + uVar1 * 2 + (uVar1 & (uStack_68 ^ 0xffffffff)) * -2 !=
              uStack_68 + uVar1) {
            uStack_ac = 0xe6846f09;
          }
        }
      }
      goto LAB_002c7318;
    }
    if (uStack_ac != 0xbe62e24) goto LAB_002c7318;
  } while( true );
}



// WARNING: Removing unreachable block (ram,0x002c7d24)
// WARNING: Removing unreachable block (ram,0x002c77e8)
// WARNING: Removing unreachable block (ram,0x002c784c)
// WARNING: Removing unreachable block (ram,0x002c78a8)
// WARNING: Removing unreachable block (ram,0x002c78b0)
// WARNING: Removing unreachable block (ram,0x002c78b8)
// WARNING: Removing unreachable block (ram,0x002c7854)
// WARNING: Removing unreachable block (ram,0x002c78cc)
// WARNING: Removing unreachable block (ram,0x002c7888)
// WARNING: Removing unreachable block (ram,0x002c7890)
// WARNING: Removing unreachable block (ram,0x002c7814)
// WARNING: Removing unreachable block (ram,0x002c780c)
// WARNING: Removing unreachable block (ram,0x002c7894)
// WARNING: Removing unreachable block (ram,0x002c789c)
// WARNING: Removing unreachable block (ram,0x002c78a4)
// WARNING: Removing unreachable block (ram,0x002c77f0)
// WARNING: Removing unreachable block (ram,0x002c77f8)
// WARNING: Removing unreachable block (ram,0x002c7800)
// WARNING: Removing unreachable block (ram,0x002c79d0)
// WARNING: Removing unreachable block (ram,0x002c79d8)
// WARNING: Removing unreachable block (ram,0x002c79e0)
// WARNING: Removing unreachable block (ram,0x002c79e8)
// WARNING: Removing unreachable block (ram,0x002c7d0c)
// WARNING: Removing unreachable block (ram,0x002c7d70)
// WARNING: Removing unreachable block (ram,0x002c7db0)
// WARNING: Removing unreachable block (ram,0x002c7a88)
// WARNING: Type propagation algorithm not settling

ulong FUN_002c7754(char *param_1,long param_2,uint param_3,uint param_4)

{
  uint uVar1;
  uint *puVar2;
  uint uVar3;
  ulong uVar4;
  int iVar5;
  undefined1 auStack_b0 [4];
  uint uStack_ac;
  uint uStack_a8;
  undefined4 uStack_a4;
  undefined4 uStack_a0;
  int iStack_9c;
  uint *puStack_98;
  uint *puStack_90;
  uint *puStack_88;
  uint *puStack_80;
  uint *puStack_78;
  uint *puStack_70;
  uint uStack_68;
  uint uStack_64;
  
  puVar2 = (uint *)auStack_b0;
  uStack_ac = param_4;
LAB_002c7b7c:
  puStack_98 = puVar2 + -8;
  puStack_90 = puVar2 + -0xc;
  puStack_88 = puVar2 + -0x10;
  puStack_80 = puVar2 + -0x14;
  puVar2 = puVar2 + -0x18;
  uStack_a4 = 0x444a377d;
  uStack_a0 = 0x5766d37f;
  iStack_9c = 0x132ce402;
  puStack_78 = puVar2;
  uVar1 = uStack_a8;
LAB_002c78d0:
  do {
    uStack_a8 = uVar1;
    if (iStack_9c < 0x191a5654) {
      if (iStack_9c < -0x1d63519b) goto joined_r0x002c78e4;
      goto joined_r0x002c7914;
    }
    iVar5 = iStack_9c;
    if (0x39feb55f < iStack_9c) goto joined_r0x002c7928;
    if (iStack_9c < 0x1c2d2925) {
joined_r0x002c7908:
      uVar1 = uStack_a8;
      if (iVar5 == 0x191a5654) {
        puStack_98[6] = uStack_ac;
        uVar4 = FUN_002bfe60(0x53,puStack_98,0,0xffffffa9,0);
        return uVar4;
      }
      goto LAB_002c78d0;
    }
    if (iStack_9c < 0x2b8a6e6b) goto joined_r0x002c794c;
joined_r0x002c797c:
    uVar1 = uStack_a8;
    if (iVar5 == 0x2b8a6e6b) {
      uStack_a0 = 0x452c2157;
      uStack_a4 = 0x87b73449;
      iVar5 = 0x722938c2;
      if ((*param_1 != '\0' && param_2 != 0) && param_3 != 0) {
        iVar5 = -0x3d64eae2;
      }
LAB_002c7a28:
      uStack_a8 = 0xffffffff;
joined_r0x002c7c6c:
      do {
        iStack_9c = iVar5;
        if (iVar5 < 0x191a5654) goto LAB_002c7c70;
        while (0x39feb55f < iVar5) {
joined_r0x002c7928:
          uVar3 = uStack_68;
          uVar1 = uStack_a8;
          if (iVar5 < 0x51436879) {
joined_r0x002c7930:
            uStack_a8 = uVar3;
            uStack_68 = uStack_a8;
            if (iVar5 != 0x39feb560) goto LAB_002c78d0;
            uStack_a4 = 0xa3f0a1f2;
            uStack_a0 = 0xd1d99930;
            iVar5 = 0x722938c2;
            iStack_9c = 0x722938c2;
          }
          else {
            if (iVar5 < 0x722938c2) {
              if (iVar5 == 0x51436879) goto LAB_002c7b7c;
              goto LAB_002c78d0;
            }
            if (iVar5 != 0x722938c2) goto LAB_002c78d0;
            uStack_a4 = 0x87d0ab92;
            uStack_a0 = 0x654c05f7;
            iStack_9c = -0x1d63519b;
            uStack_64 = uStack_a8;
LAB_002c7c70:
            if (-0x1d63519c < iStack_9c) {
joined_r0x002c7914:
              uVar1 = uStack_a8;
              if (iStack_9c < -0x1466967c) {
                if (iStack_9c == -0x1d63519b) {
                  return (ulong)uStack_64;
                }
                goto LAB_002c78d0;
              }
              if (iStack_9c < 0x132ce402) {
                if (iStack_9c == -0x1466967c) {
                  *(uint *)((long)puStack_98 + 0x18) = uStack_ac;
                  uVar3 = FUN_002bfe60(0x22,puStack_98,0,0,0);
                  iVar5 = 0x39feb560;
                  uStack_a4 = 0x4ac3a008;
                  uStack_a0 = 0x733d1568;
                  iStack_9c = 0x39feb560;
                  uVar1 = uStack_a8;
                  goto joined_r0x002c7930;
                }
                goto LAB_002c78d0;
              }
              if (iStack_9c != 0x132ce402) goto LAB_002c78d0;
              uStack_a4 = 0x1d309c65;
              uStack_a0 = 0x36baf20e;
              iVar5 = 0x722938c2;
              if (param_1 != (char *)0x0) {
                iVar5 = 0x2b8a6e6b;
              }
              goto LAB_002c7a28;
            }
joined_r0x002c78e4:
            uVar1 = uStack_a8;
            if (-0x3d64eae3 < iStack_9c) {
              if (iStack_9c != -0x3d64eae2) goto LAB_002c78d0;
              *(char **)puStack_98 = param_1;
              puStack_70 = puStack_98 + 2;
              *puStack_90 = 0xdd24;
              uVar1 = *puStack_90;
              *puStack_88 = 0xa902;
              uVar3 = *puStack_88;
              uStack_a0 = 0xd8210d25;
              uStack_a4 = 0xc40c2400;
              iVar5 = -0x5532966e;
              if (((uVar1 | uVar3) + uVar3) - (uVar3 & (uVar1 ^ 0xffffffff)) == uVar1 + uVar3) {
                iVar5 = 0x1c2d2925;
              }
              goto joined_r0x002c7c6c;
            }
            if (iStack_9c != -0x5532966e) goto LAB_002c78d0;
            iVar5 = 0x1c2d2925;
            *(long *)puStack_70 = param_2;
            uStack_a4 = 0x226da8de;
            uStack_a0 = 0x3e4081fb;
            iStack_9c = 0x1c2d2925;
            *(ulong *)(puStack_98 + 4) = (ulong)param_3;
          }
        }
        if (iVar5 < 0x1c2d2925) goto joined_r0x002c7908;
        if (0x2b8a6e6a < iVar5) goto joined_r0x002c797c;
joined_r0x002c794c:
        uVar1 = uStack_a8;
        if (iVar5 != 0x1c2d2925) break;
        *(long *)puStack_70 = param_2;
        *(ulong *)(puStack_98 + 4) = (ulong)param_3;
        *puStack_80 = 0xd19b;
        uVar1 = *puStack_80;
        *puStack_78 = 0xc645;
        uVar3 = *puStack_78;
        uStack_a0 = 0x72aeda88;
        uStack_a4 = 0x6bb48cdc;
        iVar5 = -0x1466967c;
        if (uVar3 + (uVar1 | uVar3 ^ 0xffffffff) + (uVar1 ^ uVar3) + 1 != (uVar1 | uVar3)) {
          iVar5 = 0x191a5654;
        }
      } while( true );
    }
  } while( true );
}



void FUN_002c7db4(undefined8 *param_1)

{
                    // try { // try from 002c7de8 to 002c7df3 has its CatchHandler @ 002c7e08
  FUN_002c7e44(param_1,*param_1);
  *param_1 = 0;
  return;
}



// WARNING: Removing unreachable block (ram,0x002c7e34)

void FUN_002c7e0c(void)

{
  FUN_00614fa8();
                    // WARNING: Subroutine does not return
  FUN_005fb358();
}



// WARNING: Removing unreachable block (ram,0x002c7f44)
// WARNING: Removing unreachable block (ram,0x002c7f4c)
// WARNING: Removing unreachable block (ram,0x002c7eb0)
// WARNING: Removing unreachable block (ram,0x002c7ee0)
// WARNING: Removing unreachable block (ram,0x002c7ee8)
// WARNING: Removing unreachable block (ram,0x002c7ef0)
// WARNING: Removing unreachable block (ram,0x002c7edc)
// WARNING: Removing unreachable block (ram,0x002c7ef4)
// WARNING: Removing unreachable block (ram,0x002c7efc)
// WARNING: Removing unreachable block (ram,0x002c7f04)
// WARNING: Removing unreachable block (ram,0x002c7eb8)
// WARNING: Removing unreachable block (ram,0x002c7ec0)
// WARNING: Removing unreachable block (ram,0x002c804c)

void FUN_002c7e44(long param_1,long param_2)

{
  int iVar1;
  long lVar2;
  long lStack_90;
  int iStack_7c;
  long *plStack_78;
  long lStack_70;
  long lStack_68;
  long lStack_48;
  
  do {
    iStack_7c = -0x7027c5dc;
LAB_002c7f88:
    do {
      while (iStack_7c < 0x23a0d8d0) {
        if (iStack_7c < -0x6216b538) {
          if (iStack_7c == -0x7027c5dc) goto LAB_002c7f08;
        }
        else if (iStack_7c < -0x32731bb9) {
          if (iStack_7c == -0x6216b538) goto LAB_002c7f50;
        }
        else if (iStack_7c == -0x32731bb9) goto LAB_002c8118;
      }
      if (0x65907571 < iStack_7c) {
        if (iStack_7c < 0x7180ba6a) {
          while (iStack_7c == 0x65907572) {
            FUN_002c7e44(param_1,lStack_70);
            iStack_7c = 0x7180ba6a;
            while( true ) {
              if (iStack_7c < 0x65907572) goto joined_r0x002c80a4;
              if (iStack_7c < 0x7180ba6a) break;
              if (iStack_7c != 0x7180ba6a) goto LAB_002c7f88;
LAB_002c8054:
              lStack_90 = lStack_68;
              iStack_7c = 0x322b9e7f;
              if (lStack_68 != 0) {
                iStack_7c = -0x6216b538;
              }
              while (iStack_7c < 0x23a0d8d0) {
                if (iStack_7c < -0x6216b538) {
                  if (iStack_7c != -0x7027c5dc) goto LAB_002c7f88;
LAB_002c7f08:
                  plStack_78 = (long *)(param_1 + 8);
                  iStack_7c = -0x6216b538;
                  lStack_90 = param_2;
                }
                if (iStack_7c < -0x32731bb9) {
                  if (iStack_7c != -0x6216b538) goto LAB_002c7f88;
LAB_002c7f50:
                  iStack_7c = 0x322b9e7f;
                  lStack_48 = lStack_90;
                  iVar1 = -0x32731bb9;
                  lVar2 = lStack_90;
                }
                else {
                  if (iStack_7c != -0x32731bb9) goto LAB_002c7f88;
LAB_002c8118:
                  lVar2 = *(long *)(lStack_48 + 8);
                  lStack_68 = *(long *)(lStack_48 + 0x10);
                  FUN_002c81a0(param_1,lStack_48);
                  iStack_7c = 0x7180ba6a;
                  *plStack_78 = *plStack_78 + -1;
                  iVar1 = 0x65907572;
                  lStack_70 = lVar2;
                }
                if (lVar2 != 0) {
                  iStack_7c = iVar1;
                }
              }
            }
          }
        }
        else if (iStack_7c == 0x7180ba6a) goto LAB_002c8054;
